Zeit von [CET/CEST];Zeit bis [CET/CEST];Wind [MW];Solar [MW];Biomasse [MW];Gas [MW];Kohle [MW];Öl [MW];Geothermie [MW];Pumpspeicher [MW];Lauf- und Schwellwasser [MW];Speicher [MW];Sonstige Erneuerbare [MW];Müll [MW];Andere [MW]
01.01.2023 00:00:00;01.01.2023 00:15:00;1000,000;0,000;240,000;27,600;0,000;0,000;0,072;-1404,800;2291,600;70,400;0,000;100,000;22,000
01.01.2023 00:15:00;01.01.2023 00:30:00;964,000;0,000;240,000;27,600;0,000;0,000;0,072;-1532,800;2283,200;66,800;0,000;100,000;22,000
01.01.2023 00:30:00;01.01.2023 00:45:00;956,000;0,000;240,000;28,000;0,000;0,000;0,072;-1544,400;2240,000;100,400;0,000;100,000;22,000
01.01.2023 00:45:00;01.01.2023 01:00:00;992,000;0,000;240,000;27,600;0,000;0,000;0,072;-1579,600;2199,600;77,600;0,000;100,000;22,000
01.01.2023 01:00:00;01.01.2023 01:15:00;880,000;0,000;240,000;27,600;0,000;0,000;0,072;-1590,800;2234,800;63,200;0,000;100,000;22,000
01.01.2023 01:15:00;01.01.2023 01:30:00;888,000;0,000;240,000;28,400;0,000;0,000;0,072;-1602,800;2229,200;73,600;0,000;100,000;22,000
01.01.2023 01:30:00;01.01.2023 01:45:00;948,000;0,000;240,000;28,800;0,000;0,000;0,072;-1572,000;2211,200;69,200;0,000;100,000;22,000
01.01.2023 01:45:00;01.01.2023 02:00:00;968,000;0,000;240,000;28,000;0,000;0,000;0,072;-1579,200;2194,800;70,800;0,000;100,000;22,000
01.01.2023 02:00:00;01.01.2023 02:15:00;956,000;0,000;240,000;28,800;0,000;0,000;0,072;-1649,600;2202,800;75,200;0,000;100,000;22,000
01.01.2023 02:15:00;01.01.2023 02:30:00;952,000;0,000;240,000;28,400;0,000;0,000;0,072;-1702,000;2172,400;65,600;0,000;100,000;22,000
01.01.2023 02:30:00;01.01.2023 02:45:00;936,000;0,000;240,000;28,000;0,000;0,000;0,072;-1716,000;2166,000;66,800;0,000;100,000;22,000
01.01.2023 02:45:00;01.01.2023 03:00:00;980,000;0,000;240,000;27,600;0,000;0,000;0,072;-1719,200;2140,000;63,600;0,000;100,000;22,000
01.01.2023 03:00:00;01.01.2023 03:15:00;964,000;0,000;240,000;28,400;0,000;0,000;0,072;-1766,400;2135,600;66,800;0,000;100,000;22,000
01.01.2023 03:15:00;01.01.2023 03:30:00;856,000;0,000;240,000;28,400;0,000;0,000;0,072;-1726,800;2165,600;66,800;0,000;100,000;22,000
01.01.2023 03:30:00;01.01.2023 03:45:00;820,000;0,000;240,000;36,400;0,000;0,000;0,072;-1692,000;2150,800;85,200;0,000;100,000;22,000
01.01.2023 03:45:00;01.01.2023 04:00:00;780,000;0,000;240,000;50,000;0,000;0,000;0,072;-1707,600;2127,600;66,000;0,000;100,000;22,000
01.01.2023 04:00:00;01.01.2023 04:15:00;672,000;0,000;240,000;52,400;0,000;0,000;0,072;-1718,000;2174,800;74,800;0,000;100,000;22,000
01.01.2023 04:15:00;01.01.2023 04:30:00;560,000;0,000;240,000;50,800;0,000;0,000;0,072;-1701,200;2164,800;127,200;0,000;100,000;22,000
01.01.2023 04:30:00;01.01.2023 04:45:00;520,000;0,000;244,000;50,400;0,000;0,000;0,072;-1624,000;2154,000;110,400;0,000;100,000;22,000
01.01.2023 04:45:00;01.01.2023 05:00:00;436,000;0,000;244,000;52,400;0,000;0,000;0,072;-1618,800;2164,000;128,000;0,000;100,000;22,000
01.01.2023 05:00:00;01.01.2023 05:15:00;320,000;0,000;244,000;51,200;0,000;0,000;0,072;-1552,000;2188,800;101,200;0,000;100,000;22,000
01.01.2023 05:15:00;01.01.2023 05:30:00;316,000;0,000;244,000;50,400;0,000;0,000;0,072;-1546,400;2178,400;112,000;0,000;100,000;22,000
01.01.2023 05:30:00;01.01.2023 05:45:00;332,000;0,000;244,000;52,400;0,000;0,000;0,072;-1544,800;2184,800;116,000;0,000;100,000;22,000
01.01.2023 05:45:00;01.01.2023 06:00:00;436,000;0,000;244,000;51,200;0,000;0,000;0,072;-1517,600;2177,200;108,400;0,000;100,000;22,000
01.01.2023 06:00:00;01.01.2023 06:15:00;444,000;0,000;244,000;50,800;0,000;0,000;0,072;-1161,200;2186,400;120,400;0,000;100,000;22,000
01.01.2023 06:15:00;01.01.2023 06:30:00;368,000;0,000;244,000;51,200;0,000;0,000;0,072;-1077,600;2255,200;75,600;0,000;100,000;22,000
01.01.2023 06:30:00;01.01.2023 06:45:00;240,000;0,000;244,000;52,000;0,000;0,000;0,072;-1010,400;2269,200;94,400;0,000;100,000;22,000
01.01.2023 06:45:00;01.01.2023 07:00:00;224,000;0,000;244,000;53,600;0,000;0,000;0,072;-983,200;2270,000;86,000;0,000;100,000;22,000
01.01.2023 07:00:00;01.01.2023 07:15:00;216,000;0,000;244,000;51,200;0,000;0,000;0,072;-1086,800;2280,400;121,600;0,000;100,000;22,000
01.01.2023 07:15:00;01.01.2023 07:30:00;224,000;0,000;244,000;51,200;0,000;0,000;0,072;-1056,800;2301,600;125,600;0,000;100,000;22,000
01.01.2023 07:30:00;01.01.2023 07:45:00;192,000;0,000;244,000;51,600;0,000;0,000;0,072;-1068,400;2356,800;151,200;0,000;100,000;22,000
01.01.2023 07:45:00;01.01.2023 08:00:00;196,000;8,000;244,000;51,200;0,000;0,000;0,072;-1060,400;2370,400;166,000;0,000;100,000;22,000
01.01.2023 08:00:00;01.01.2023 08:15:00;268,000;16,000;244,000;52,000;0,000;0,000;0,072;-871,200;2368,000;125,200;0,000;100,000;22,000
01.01.2023 08:15:00;01.01.2023 08:30:00;308,000;20,000;244,000;51,600;0,000;0,000;0,072;-834,000;2393,600;104,400;0,000;100,000;22,000
01.01.2023 08:30:00;01.01.2023 08:45:00;296,000;24,000;244,000;52,000;0,000;0,000;0,072;-829,200;2418,000;113,200;0,000;100,000;22,000
01.01.2023 08:45:00;01.01.2023 09:00:00;216,000;32,000;244,000;52,400;0,000;0,000;0,072;-829,600;2448,400;110,000;0,000;100,000;22,000
01.01.2023 09:00:00;01.01.2023 09:15:00;160,000;40,000;244,000;53,600;0,000;0,000;0,072;-909,600;2499,600;148,800;0,000;100,000;22,000
01.01.2023 09:15:00;01.01.2023 09:30:00;172,000;56,000;244,000;56,800;0,000;0,000;0,072;-934,400;2526,800;151,200;0,000;100,000;22,000
01.01.2023 09:30:00;01.01.2023 09:45:00;228,000;64,000;244,000;55,600;0,000;0,000;0,072;-986,000;2563,200;156,400;0,000;100,000;22,000
01.01.2023 09:45:00;01.01.2023 10:00:00;312,000;84,000;244,000;55,200;0,000;0,000;0,072;-976,400;2574,800;154,400;0,000;100,000;22,000
01.01.2023 10:00:00;01.01.2023 10:15:00;336,000;96,000;244,000;56,400;0,000;0,000;0,072;-968,400;2619,200;135,600;0,000;100,000;22,000
01.01.2023 10:15:00;01.01.2023 10:30:00;348,000;112,000;244,000;38,800;0,000;0,000;0,072;-995,600;2612,800;136,400;0,000;100,000;22,000
01.01.2023 10:30:00;01.01.2023 10:45:00;300,000;124,000;244,000;31,200;0,000;0,000;0,072;-1052,400;2633,600;142,400;0,000;100,000;22,000
01.01.2023 10:45:00;01.01.2023 11:00:00;232,000;132,000;244,000;31,600;0,000;0,000;0,072;-1044,400;2673,200;146,000;0,000;100,000;22,000
01.01.2023 11:00:00;01.01.2023 11:15:00;216,000;144,000;244,000;32,400;0,000;0,000;0,072;-1023,600;2762,400;156,800;0,000;100,000;22,000
01.01.2023 11:15:00;01.01.2023 11:30:00;240,000;160,000;244,000;32,000;0,000;0,000;0,072;-1004,800;2734,800;158,400;0,000;100,000;22,000
01.01.2023 11:30:00;01.01.2023 11:45:00;232,000;168,000;244,000;32,000;0,000;0,000;0,072;-995,600;2729,200;157,200;0,000;100,000;22,000
01.01.2023 11:45:00;01.01.2023 12:00:00;220,000;168,000;244,000;31,600;0,000;0,000;0,072;-980,000;2706,800;167,600;0,000;100,000;22,000
01.01.2023 12:00:00;01.01.2023 12:15:00;200,000;172,000;244,000;32,000;0,000;0,000;0,072;-806,400;2721,200;172,000;0,000;100,000;22,000
