STATIONS_ID;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT
1303;1;  112.0;    0.0;    0.0;0;   119.80
1303;1;  123.0;    0.0;    0.0;0;   117.10
1303;1;  117.0;    0.0;    0.0;0;   112.04
1303;1;  131.0;    0.0;    0.0;0;   105.16
1303;1;  130.0;    0.0;    0.0;0;    97.02
1303;1;  134.0;    4.0;    4.0;0;    88.09
1303;1;  133.0;   26.0;   28.0;1;    78.80
1303;1;  137.0;   39.0;   40.0;0;    69.54
1303;1;  138.0;   49.0;   51.0;0;    60.73
1303;1;  142.0;   30.0;   31.0;0;    52.94
1303;1;  144.0;   17.0;   18.0;0;    46.92
1303;1;  144.0;   43.0;   44.0;0;    43.56
1303;1;  143.0;   56.0;   59.0;0;    43.58
1303;1;  144.0;   62.0;   64.0;0;    46.96
1303;1;  140.0;   92.0;  117.0;3;    53.01
1303;1;  130.0;   68.0;  168.0;49;    60.82
1303;1;  129.0;   36.0;   47.0;13;    69.65
1303;1;  123.0;   23.0;   44.0;53;    78.93
1303;1;  119.0;    5.0;    5.0;9;    88.25
1303;1;  119.0;    0.0;    0.0;0;    97.20
1303;1;  129.0;    0.0;    0.0;0;   105.38
1303;1;  126.0;    0.0;    0.0;0;   112.30
1303;1;  128.0;    0.0;    0.0;0;   117.40
1303;1;  135.0;    0.0;    0.0;0;   120.15
1303;1;  131.0;    0.0;    0.0;0;   120.16
1303;1;  128.0;    0.0;    0.0;0;   117.45
1303;1;  133.0;    0.0;    0.0;0;   112.37
1303;1;  123.0;    0.0;    0.0;0;   105.47
1303;1;  124.0;    0.0;    0.0;0;    97.31
1303;1;  130.0;    4.0;    5.0;0;    88.38
1303;1;  134.0;   18.0;   19.0;0;    79.09
1303;1;  134.0;   38.0;   40.0;0;    69.82
1303;1;  134.0;   66.0;   69.0;0;    61.03
1303;1;  127.0;  107.0;  147.0;27;    53.26
1303;1;  134.0;  129.0;  179.0;40;    47.26
1303;1;  137.0;  142.0;  168.0;24;    43.93
1303;1;  141.0;  124.0;  136.0;7;    43.94
1303;1;  140.0;  106.0;  114.0;2;    47.30
1303;1;  134.0;  100.0;  142.0;39;    53.32
1303;1;  132.0;   68.0;   96.0;22;    61.12
1303;1;  126.0;   38.0;   97.0;57;    69.93
1303;1;  126.0;   24.0;   45.0;59;    79.22
1303;1;  123.0;    3.0;    3.0;5;    88.54
1303;1;  121.0;    0.0;    0.0;0;    97.50
1303;1;  120.0;    0.0;    0.0;0;   105.69
1303;1;  121.0;    0.0;    0.0;0;   112.63
1303;1;  118.0;    0.0;    0.0;0;   117.75
1303;1;  117.0;    0.0;    0.0;0;   120.51
1303;1;  117.0;    0.0;    0.0;0;   120.52
1303;1;  119.0;    0.0;    0.0;0;   117.80
1303;1;  118.0;    0.0;    0.0;0;   112.70
1303;1;  116.0;    0.0;    0.0;0;   105.78
1303;1;  118.0;    0.0;    0.0;0;    97.61
1303;1;  118.0;    4.0;    5.0;0;    88.67
1303;1;  126.0;   30.0;   31.0;0;    79.37
1303;1;  119.0;   64.0;   76.0;27;    70.11
1303;1;  117.0;   82.0;  140.0;44;    61.33
1303;1;  117.0;   70.0;  197.0;60;    53.58
1303;1;  119.0;   79.0;  222.0;60;    47.61
1303;1;  122.0;  101.0;  236.0;60;    44.29
1303;1;  126.0;  128.0;  187.0;58;    44.30
1303;1;  123.0;  108.0;  195.0;57;    47.65
1303;1;  122.0;   85.0;  169.0;60;    53.65
