Tabelle: 31111-0006
Baugenehmigungen neuer Gebäude: Deutschland, Jahre,;;;;;
Gebäudeart, Überwiegend verwendeter Baustoff;;;;;
Statistik der Baugenehmigungen;;;;;;;;
Deutschland;;;;;;;;
;;;Neue Gebäude;;Rauminhalt;;Veranschlagte Kosten des Bauwerks;
;;;Anzahl;Anzahl;1000 cbm;1000 cbm;Tsd. EUR;Tsd. EUR
2017;Wohngebäude;Stahl;17;e;40;e;15363;e
;;Stahlbeton;10109;e;28359;e;9489416;e
;;Ziegel;36605;e;46058;e;14713904;e
;;Kalksandstein;19477;e;38107;e;11351803;e
;;Porenbeton;26646;e;24613;e;7345478;e
;;Leichtbeton/Bims;3730;e;4377;e;1346048;e
;;Holz;21018;e;18151;e;6041722;e
;;Sonstiger Baustoff;1458;e;1785;e;524099;e
;Wohngebäude mit 1 Wohnung;Stahl;6;e;4;e;936;e
;;Stahlbeton;5622;e;4569;e;1424352;e
;;Ziegel;27931;e;25342;e;8022967;e
;;Kalksandstein;12231;e;9692;e;2776351;e
;;Porenbeton;22538;e;17026;e;5044188;e
;;Leichtbeton/Bims;2878;e;2520;e;775348;e
;;Holz;18384;e;14131;e;4660717;e
;;Sonstiger Baustoff;1183;e;975;e;287425;e
;Wohngebäude mit 2 Wohnungen;Stahl;3;e;3;e;703;e
;;Stahlbeton;800;e;1003;e;330764;e
;;Ziegel;3852;e;4865;e;1542655;e
;;Kalksandstein;1594;e;1891;e;587701;e
;;Porenbeton;2314;e;2581;e;762710;e
;;Leichtbeton/Bims;415;e;488;e;150002;e
;;Holz;2001;e;2174;e;724776;e
;;Sonstiger Baustoff;128;e;147;e;43226;e
;Wohngebäude mit 3 oder mehr Wohnungen;Stahl;2;e;3;e;1260;e
;;Stahlbeton;3535;e;21364;e;7198566;e
;;Ziegel;4764;e;15638;e;5075318;e
;;Kalksandstein;5561;e;26004;e;7814863;e
;;Porenbeton;1775;e;4952;e;1518959;e
;;Leichtbeton/Bims;432;e;1343;e;411426;e
;;Holz;562;e;1574;e;544431;e
;;Sonstiger Baustoff;140;e;587;e;170757;e
;Wohnheime;Stahl;6;e;30;e;12464;e
;;Stahlbeton;152;e;1423;e;535734;e
;;Ziegel;58;e;214;e;72964;e
;;Kalksandstein;91;e;519;e;172888;e
;;Porenbeton;19;e;54;e;19621;e
;;Leichtbeton/Bims;5;e;26;e;9272;e
;;Holz;71;e;272;e;111798;e
;;Sonstiger Baustoff;7;e;76;e;22691;e
;Wohngebäude mit Eigentumswohnungen;Stahl;2;e;2;e;353;e
;;Stahlbeton;1981;e;10770;e;3596354;e
;;Ziegel;2479;e;8386;e;2717668;e
;;Kalksandstein;2756;e;12264;e;3651602;e
;;Porenbeton;872;e;2449;e;759745;e
;;Leichtbeton/Bims;184;e;587;e;185192;e
;;Holz;244;e;623;e;220108;e
;;Sonstiger Baustoff;54;e;238;e;68241;e
;Nichtwohngebäude;Stahl;7060;e;52282;e;4010900;e
;;Stahlbeton;8034;e;127629;e;21249848;e
;;Ziegel;3225;e;9195;e;1927368;e
;;Kalksandstein;1814;e;8285;e;1991572;e
;;Porenbeton;1189;e;3308;e;622062;e
;;Leichtbeton/Bims;403;e;699;e;141578;e
;;Holz;4605;e;12038;e;1365621;e
;;Sonstiger Baustoff;622;e;4037;e;281708;e
