Start date;End date;Biomass [MWh] Original resolutions;Hydropower [MWh] Original resolutions;Wind offshore [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other renewable [MWh] Original resolutions;Nuclear [MWh] Original resolutions;Lignite [MWh] Original resolutions;Hard coal [MWh] Original resolutions;Fossil gas [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions;Other conventional [MWh] Original resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 12:15 AM;1,094.25;320.00;684.25;7,145.75;0.50;32.25;615.25;962.75;517.00;429.75;13.50;307.25
Jan 1, 2023 12:15 AM;Jan 1, 2023 12:30 AM;1,091.25;317.50;743.50;7,158.25;0.25;32.25;614.75;963.25;518.00;429.50;9.75;307.25
Jan 1, 2023 12:30 AM;Jan 1, 2023 12:45 AM;1,090.25;317.25;817.00;7,302.25;0.25;32.50;615.00;966.50;517.00;432.00;9.75;308.25
Jan 1, 2023 12:45 AM;Jan 1, 2023 1:00 AM;1,089.25;321.50;814.50;7,104.25;0.25;32.50;614.50;966.75;515.50;430.50;9.75;306.00
Jan 1, 2023 1:00 AM;Jan 1, 2023 1:15 AM;1,085.25;315.25;785.50;7,322.00;0.25;32.25;614.50;969.00;513.25;391.25;26.50;306.75
Jan 1, 2023 1:15 AM;Jan 1, 2023 1:30 AM;1,087.75;304.75;898.50;7,332.75;0.25;32.25;614.75;965.75;514.00;389.50;45.00;305.00
Jan 1, 2023 1:30 AM;Jan 1, 2023 1:45 AM;1,086.50;303.50;943.75;7,259.75;0.25;32.25;614.75;967.50;513.75;393.75;50.50;302.00
Jan 1, 2023 1:45 AM;Jan 1, 2023 2:00 AM;1,085.25;304.25;958.25;7,390.50;0.25;32.25;614.75;964.25;511.00;393.50;50.50;304.50
Jan 1, 2023 2:00 AM;Jan 1, 2023 2:15 AM;1,080.25;308.25;1,009.75;7,229.00;0.50;32.25;615.00;963.00;509.75;391.50;41.25;303.00
Jan 1, 2023 2:15 AM;Jan 1, 2023 2:30 AM;1,084.25;305.50;967.00;7,421.75;0.25;32.25;614.75;967.00;509.00;394.50;40.75;303.75
Jan 1, 2023 2:30 AM;Jan 1, 2023 2:45 AM;1,084.75;305.75;936.25;7,263.00;0.25;32.25;615.25;967.75;508.00;394.50;40.75;302.25
Jan 1, 2023 2:45 AM;Jan 1, 2023 3:00 AM;1,083.75;304.00;929.25;7,352.25;0.25;32.25;614.75;962.50;507.50;391.00;40.75;302.50
Jan 1, 2023 3:00 AM;Jan 1, 2023 3:15 AM;1,083.50;309.25;907.00;6,925.25;0.25;32.25;615.00;969.75;509.00;386.25;40.25;302.25
Jan 1, 2023 3:15 AM;Jan 1, 2023 3:30 AM;1,084.00;304.50;886.25;6,767.50;0.25;32.25;615.00;964.50;509.75;395.25;40.25;302.75
Jan 1, 2023 3:30 AM;Jan 1, 2023 3:45 AM;1,084.75;304.25;876.50;6,657.25;0.25;32.25;615.25;964.50;509.50;391.25;40.25;302.50
Jan 1, 2023 3:45 AM;Jan 1, 2023 4:00 AM;1,086.50;306.25;793.50;6,658.50;0.25;32.25;615.25;966.00;508.75;392.00;40.25;304.25
Jan 1, 2023 4:00 AM;Jan 1, 2023 4:15 AM;1,086.25;317.50;821.50;6,738.50;0.50;32.25;615.25;957.25;508.75;392.75;40.25;303.50
Jan 1, 2023 4:15 AM;Jan 1, 2023 4:30 AM;1,087.50;314.75;887.00;6,609.75;0.25;32.00;615.25;963.75;509.75;392.25;40.25;303.75
Jan 1, 2023 4:30 AM;Jan 1, 2023 4:45 AM;1,090.50;307.75;911.50;6,521.50;0.50;32.00;615.25;962.25;511.25;392.50;40.00;303.25
Jan 1, 2023 4:45 AM;Jan 1, 2023 5:00 AM;1,089.00;305.00;842.25;6,569.00;0.25;32.00;615.25;957.75;510.50;373.00;40.00;303.75
Jan 1, 2023 5:00 AM;Jan 1, 2023 5:15 AM;1,089.50;305.00;847.75;6,830.25;0.75;32.25;616.25;957.75;508.25;376.00;39.75;302.00
Jan 1, 2023 5:15 AM;Jan 1, 2023 5:30 AM;1,092.75;310.50;820.00;6,723.25;0.25;32.25;616.00;948.75;510.25;388.00;45.25;301.75
Jan 1, 2023 5:30 AM;Jan 1, 2023 5:45 AM;1,094.25;307.00;833.25;6,620.00;0.25;32.25;616.50;948.75;509.00;386.00;55.25;299.50
Jan 1, 2023 5:45 AM;Jan 1, 2023 6:00 AM;1,093.75;305.25;839.00;6,621.50;0.25;32.25;616.50;948.75;509.00;389.75;52.50;300.75
Jan 1, 2023 6:00 AM;Jan 1, 2023 6:15 AM;1,100.75;303.00;846.25;6,693.50;0.50;32.25;616.00;944.75;509.00;392.00;42.25;301.75
Jan 1, 2023 6:15 AM;Jan 1, 2023 6:30 AM;1,102.75;305.00;806.50;6,665.50;0.25;32.00;616.25;945.50;508.25;394.25;42.50;300.75
Jan 1, 2023 6:30 AM;Jan 1, 2023 6:45 AM;1,101.25;307.00;808.25;6,652.50;0.25;32.25;616.25;954.75;508.50;395.25;42.50;301.00
Jan 1, 2023 6:45 AM;Jan 1, 2023 7:00 AM;1,102.75;309.00;807.50;6,611.25;0.25;32.25;615.75;956.50;507.25;395.75;43.00;302.50
Jan 1, 2023 7:00 AM;Jan 1, 2023 7:15 AM;1,110.25;314.00;893.50;6,812.75;0.25;32.25;616.25;956.25;508.00;389.75;41.50;302.25
Jan 1, 2023 7:15 AM;Jan 1, 2023 7:30 AM;1,117.50;328.75;854.00;6,790.25;0.25;32.25;616.00;956.25;507.75;393.75;42.50;302.75
Jan 1, 2023 7:30 AM;Jan 1, 2023 7:45 AM;1,118.50;323.00;860.50;6,805.25;0.25;32.25;616.00;957.25;507.00;393.75;41.50;302.00
Jan 1, 2023 7:45 AM;Jan 1, 2023 8:00 AM;1,120.25;320.25;871.75;6,714.25;0.50;32.25;616.00;960.75;508.25;391.75;40.25;302.25
Jan 1, 2023 8:00 AM;Jan 1, 2023 8:15 AM;1,122.25;317.75;779.50;6,702.50;3.00;32.25;616.00;948.50;508.50;392.00;40.25;305.75
Jan 1, 2023 8:15 AM;Jan 1, 2023 8:30 AM;1,129.25;300.75;805.25;6,660.50;26.50;32.25;615.25;947.25;508.25;392.00;40.00;306.00
Jan 1, 2023 8:30 AM;Jan 1, 2023 8:45 AM;1,130.25;301.75;765.50;6,578.75;150.00;32.25;615.75;947.75;509.00;391.75;40.25;305.00
Jan 1, 2023 8:45 AM;Jan 1, 2023 9:00 AM;1,132.50;304.75;767.25;6,476.75;336.00;32.25;615.75;945.25;511.50;388.00;40.00;303.75
Jan 1, 2023 9:00 AM;Jan 1, 2023 9:15 AM;1,131.00;311.25;868.25;6,338.25;545.50;32.25;616.50;942.75;512.25;389.00;4.50;303.25
Jan 1, 2023 9:15 AM;Jan 1, 2023 9:30 AM;1,131.75;306.50;864.25;6,338.50;745.00;32.00;616.75;951.25;509.25;389.50;1.25;303.50
Jan 1, 2023 9:30 AM;Jan 1, 2023 9:45 AM;1,133.50;308.25;868.25;6,251.50;941.75;32.00;616.50;946.50;506.50;383.75;1.75;304.25
Jan 1, 2023 9:45 AM;Jan 1, 2023 10:00 AM;1,137.50;306.50;867.00;6,201.75;1,141.50;32.00;616.50;946.00;500.00;383.25;30.75;303.50
Jan 1, 2023 10:00 AM;Jan 1, 2023 10:15 AM;1,134.00;312.75;854.00;6,225.00;1,350.50;32.00;616.25;954.50;499.75;383.75;58.25;302.25
Jan 1, 2023 10:15 AM;Jan 1, 2023 10:30 AM;1,135.00;337.75;854.25;6,102.00;1,532.50;31.75;616.00;950.75;500.50;383.50;13.00;303.00
Jan 1, 2023 10:30 AM;Jan 1, 2023 10:45 AM;1,136.75;348.25;833.75;5,993.00;1,694.00;31.75;616.00;949.75;499.00;382.25;32.00;303.75
Jan 1, 2023 10:45 AM;Jan 1, 2023 11:00 AM;1,136.50;364.25;854.25;5,844.75;1,853.25;31.75;615.75;953.25;498.25;381.50;37.75;303.75
Jan 1, 2023 11:00 AM;Jan 1, 2023 11:15 AM;1,135.75;338.75;860.75;5,773.25;1,990.75;31.75;615.25;956.50;499.50;382.25;60.00;302.75
Jan 1, 2023 11:15 AM;Jan 1, 2023 11:30 AM;1,136.25;329.75;897.25;5,755.75;2,099.00;31.50;615.50;952.75;502.00;384.00;53.75;304.25
Jan 1, 2023 11:30 AM;Jan 1, 2023 11:45 AM;1,135.50;325.50;910.00;5,802.50;2,193.00;31.50;615.50;956.50;501.50;383.25;32.50;303.50
Jan 1, 2023 11:45 AM;Jan 1, 2023 12:00 PM;1,136.00;320.25;931.50;5,759.50;2,247.00;31.50;615.50;959.00;502.25;382.00;31.25;304.00
Jan 1, 2023 12:00 PM;Jan 1, 2023 12:15 PM;1,125.75;328.00;890.75;5,612.75;2,242.50;31.50;615.50;954.25;505.75;378.50;120.25;304.50
Jan 1, 2023 12:15 PM;Jan 1, 2023 12:30 PM;1,124.25;315.00;863.75;5,460.75;2,233.75;31.50;614.75;959.75;505.00;379.25;169.25;303.50
Jan 1, 2023 12:30 PM;Jan 1, 2023 12:45 PM;1,124.25;312.75;890.00;5,291.25;2,244.00;31.25;614.50;955.25;504.75;380.00;137.50;304.50
Jan 1, 2023 12:45 PM;Jan 1, 2023 1:00 PM;1,124.75;316.50;983.75;5,191.00;2,210.00;31.25;613.75;965.00;505.50;376.00;80.25;304.25
Jan 1, 2023 1:00 PM;Jan 1, 2023 1:15 PM;1,121.25;309.00;992.50;5,239.75;2,163.00;31.25;614.00;979.25;510.50;376.00;29.50;306.00
Jan 1, 2023 1:15 PM;Jan 1, 2023 1:30 PM;1,122.25;313.75;1,005.00;5,149.00;2,057.75;31.25;614.25;1,003.50;511.25;380.25;41.75;306.75
Jan 1, 2023 1:30 PM;Jan 1, 2023 1:45 PM;1,124.25;314.00;1,030.75;4,994.00;1,894.25;31.25;613.75;1,019.00;512.00;380.50;71.75;307.25
Jan 1, 2023 1:45 PM;Jan 1, 2023 2:00 PM;1,124.00;315.75;1,035.50;4,955.75;1,723.50;31.25;614.00;1,017.00;512.75;382.50;104.75;307.25
Jan 1, 2023 2:00 PM;Jan 1, 2023 2:15 PM;1,094.75;308.50;1,536.50;5,182.50;1,562.00;31.25;614.00;1,015.25;513.50;384.25;84.25;308.00
Jan 1, 2023 2:15 PM;Jan 1, 2023 2:30 PM;1,123.50;312.50;1,671.50;5,158.50;1,375.50;31.25;613.50;1,015.25;512.75;383.00;58.75;307.50
Jan 1, 2023 2:30 PM;Jan 1, 2023 2:45 PM;1,123.00;322.75;1,674.75;5,006.25;1,160.50;31.25;613.00;1,018.00;511.50;383.00;129.50;307.25
Jan 1, 2023 2:45 PM;Jan 1, 2023 3:00 PM;1,129.25;316.50;1,679.25;5,105.00;943.50;31.25;613.25;1,021.75;510.25;380.50;131.00;306.75
Jan 1, 2023 3:00 PM;Jan 1, 2023 3:15 PM;1,135.75;310.50;1,677.75;5,451.25;731.75;31.50;612.75;1,017.00;514.25;380.00;145.00;308.00
Jan 1, 2023 3:15 PM;Jan 1, 2023 3:30 PM;1,137.75;302.75;1,676.00;5,625.25;536.00;31.50;612.50;1,022.75;516.75;382.00;181.75;307.00
Jan 1, 2023 3:30 PM;Jan 1, 2023 3:45 PM;1,139.25;307.00;1,675.00;5,605.25;349.50;31.50;612.25;1,020.75;517.75;380.25;104.75;305.75
Jan 1, 2023 3:45 PM;Jan 1, 2023 4:00 PM;1,146.50;300.00;1,672.25;5,521.50;193.75;31.50;612.00;1,037.00;532.75;376.00;407.75;301.50
Jan 1, 2023 4:00 PM;Jan 1, 2023 4:15 PM;1,156.00;302.50;1,667.75;5,396.25;81.75;31.75;612.75;1,060.75;574.00;404.75;176.25;301.50
Jan 1, 2023 4:15 PM;Jan 1, 2023 4:30 PM;1,161.00;314.50;1,664.00;5,271.25;21.25;31.75;613.00;1,074.00;613.25;407.75;482.75;302.50
Jan 1, 2023 4:30 PM;Jan 1, 2023 4:45 PM;1,161.50;315.00;1,666.25;5,168.75;2.50;32.00;613.25;1,079.25;628.25;408.00;762.25;305.00
Jan 1, 2023 4:45 PM;Jan 1, 2023 5:00 PM;1,165.25;334.50;1,660.75;5,056.75;0.75;32.00;613.00;1,069.75;634.75;404.50;955.00;307.25
Jan 1, 2023 5:00 PM;Jan 1, 2023 5:15 PM;1,174.75;323.00;1,647.50;4,967.75;0.50;32.00;614.00;1,036.75;577.00;396.50;583.75;308.50
Jan 1, 2023 5:15 PM;Jan 1, 2023 5:30 PM;1,179.25;318.50;1,644.75;4,942.75;0.50;32.00;614.00;1,066.50;551.50;399.25;727.50;309.75
Jan 1, 2023 5:30 PM;Jan 1, 2023 5:45 PM;1,177.75;312.00;1,632.75;4,943.00;0.75;32.25;614.25;1,090.75;551.75;404.00;762.50;309.75
Jan 1, 2023 5:45 PM;Jan 1, 2023 6:00 PM;1,182.25;302.25;1,630.00;4,956.50;0.75;32.25;614.50;1,096.75;557.50;401.75;913.00;309.75
Jan 1, 2023 6:00 PM;Jan 1, 2023 6:15 PM;1,179.25;301.00;1,571.50;4,937.00;0.50;32.25;614.50;1,126.25;568.75;417.00;834.50;310.50
Jan 1, 2023 6:15 PM;Jan 1, 2023 6:30 PM;1,178.75;304.50;1,545.50;4,890.25;0.50;32.25;614.50;1,152.75;590.75;413.00;888.25;308.75
Jan 1, 2023 6:30 PM;Jan 1, 2023 6:45 PM;1,177.25;304.75;1,524.25;4,888.75;0.50;32.25;614.00;1,150.25;597.75;411.00;851.00;307.25
Jan 1, 2023 6:45 PM;Jan 1, 2023 7:00 PM;1,175.25;303.25;1,538.75;4,823.50;0.25;32.25;614.25;1,172.75;604.50;416.25;763.50;308.75
Jan 1, 2023 7:00 PM;Jan 1, 2023 7:15 PM;1,171.50;311.00;1,550.50;4,756.50;0.25;33.00;614.75;1,123.50;602.50;411.00;886.75;310.25
Jan 1, 2023 7:15 PM;Jan 1, 2023 7:30 PM;1,169.75;298.75;1,536.00;4,791.50;0.25;33.00;614.75;1,124.00;603.00;413.50;723.25;308.00
Jan 1, 2023 7:30 PM;Jan 1, 2023 7:45 PM;1,169.00;304.00;1,486.50;4,810.75;0.25;32.75;614.50;1,125.75;600.50;410.00;667.50;308.50
Jan 1, 2023 7:45 PM;Jan 1, 2023 8:00 PM;1,168.50;302.25;1,433.25;4,805.50;0.50;32.25;614.75;1,140.00;571.50;406.25;570.50;308.75
Jan 1, 2023 8:00 PM;Jan 1, 2023 8:15 PM;1,158.25;305.75;1,407.50;4,847.75;0.25;32.25;615.25;1,126.00;562.25;416.00;656.75;309.50
Jan 1, 2023 8:15 PM;Jan 1, 2023 8:30 PM;1,154.75;300.75;1,397.25;4,868.50;0.50;32.25;615.75;1,114.75;552.25;417.75;508.50;310.00
Jan 1, 2023 8:30 PM;Jan 1, 2023 8:45 PM;1,155.00;296.75;1,386.75;4,887.75;0.25;32.25;616.00;1,099.25;548.50;419.25;322.00;309.25
Jan 1, 2023 8:45 PM;Jan 1, 2023 9:00 PM;1,156.00;294.00;1,401.25;4,956.25;0.25;32.25;615.25;1,116.00;533.50;418.75;250.50;310.25
Jan 1, 2023 9:00 PM;Jan 1, 2023 9:15 PM;1,146.00;293.75;1,541.00;4,986.00;0.50;32.25;615.25;1,136.75;475.25;405.00;416.00;307.75
Jan 1, 2023 9:15 PM;Jan 1, 2023 9:30 PM;1,143.00;294.00;1,537.75;4,896.75;0.50;32.25;615.50;1,129.50;479.25;412.75;401.25;308.00
Jan 1, 2023 9:30 PM;Jan 1, 2023 9:45 PM;1,141.75;294.50;1,532.75;4,796.00;0.25;32.25;616.00;1,126.25;479.50;408.50;337.50;308.75
Jan 1, 2023 9:45 PM;Jan 1, 2023 10:00 PM;1,142.50;294.50;1,485.50;4,750.75;0.25;32.25;615.00;1,126.00;479.25;410.25;348.00;306.25
Jan 1, 2023 10:00 PM;Jan 1, 2023 10:15 PM;1,129.75;308.00;1,399.75;4,682.50;0.50;32.50;615.25;1,126.00;477.25;411.50;390.25;308.50
